"Notes"	"Age of Mother 9"	"Age of Mother 9 Code"	"Mother's Pre-pregnancy Weight"	"Mother's Pre-pregnancy Weight Code"	"Mother's Weight Gain"	"Mother's Weight Gain Code"	Births
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"0 lbs"	"0"	12
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"1 lbs"	"1"	1
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"2 lbs"	"2"	3
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"3 lbs"	"3"	7
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"4 lbs"	"4"	1
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"5 lbs"	"5"	4
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"6 lbs"	"6"	1
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"7 lbs"	"7"	3
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"8 lbs"	"8"	7
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"9 lbs"	"9"	2
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"10 lbs"	"10"	13
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"11 lbs"	"11"	7
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"12 lbs"	"12"	14
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"13 lbs"	"13"	11
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"14 lbs"	"14"	8
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"15 lbs"	"15"	18
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"16 lbs"	"16"	12
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"17 lbs"	"17"	14
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"18 lbs"	"18"	15
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"19 lbs"	"19"	14
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"20 lbs"	"20"	29
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"21 lbs"	"21"	18
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"22 lbs"	"22"	20
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"23 lbs"	"23"	17
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"24 lbs"	"24"	23
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"25 lbs"	"25"	26
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"26 lbs"	"26"	17
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"27 lbs"	"27"	24
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"28 lbs"	"28"	14
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"29 lbs"	"29"	15
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"30 lbs"	"30"	31
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"31 lbs"	"31"	21
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"32 lbs"	"32"	20
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"33 lbs"	"33"	20
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"34 lbs"	"34"	12
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"35 lbs"	"35"	14
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"36 lbs"	"36"	25
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"37 lbs"	"37"	11
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"38 lbs"	"38"	14
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"39 lbs"	"39"	14
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"40 lbs"	"40"	19
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"41 lbs"	"41"	8
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"42 lbs"	"42"	8
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"43 lbs"	"43"	11
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"44 lbs"	"44"	13
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"45 lbs"	"45"	16
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"46 lbs"	"46"	2
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"47 lbs"	"47"	4
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"48 lbs"	"48"	6
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"49 lbs"	"49"	9
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"50 lbs"	"50"	11
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"51 lbs"	"51"	5
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"52 lbs"	"52"	6
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"53 lbs"	"53"	6
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"54 lbs"	"54"	5
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"55 lbs"	"55"	4
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"56 lbs"	"56"	5
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"57 lbs"	"57"	3
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"58 lbs"	"58"	2
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"59 lbs"	"59"	3
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"60 lbs"	"60"	5
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"61 lbs"	"61"	2
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"62 lbs"	"62"	1
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"63 lbs"	"63"	2
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"64 lbs"	"64"	3
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"65 lbs"	"65"	2
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"66 lbs"	"66"	2
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"67 lbs"	"67"	1
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"68 lbs"	"68"	4
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"69 lbs"	"69"	1
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"70 lbs"	"70"	1
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"71 lbs"	"71"	2
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"72 lbs"	"72"	1
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"73 lbs"	"73"	2
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"74 lbs"	"74"	1
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"79 lbs"	"79"	2
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"80 lbs"	"80"	1
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"81 lbs"	"81"	3
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"86 lbs"	"86"	1
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"97 lbs"	"97"	1
	"Under 15 years"	"15"	" 75 - 124 lbs"	"2"	"Unknown or Not Stated"	"99"	10
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"0 lbs"	"0"	32
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"1 lbs"	"1"	4
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"2 lbs"	"2"	5
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"3 lbs"	"3"	3
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"4 lbs"	"4"	5
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"5 lbs"	"5"	5
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"6 lbs"	"6"	6
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"7 lbs"	"7"	6
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"8 lbs"	"8"	9
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"9 lbs"	"9"	12
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"10 lbs"	"10"	28
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"11 lbs"	"11"	12
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"12 lbs"	"12"	7
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"13 lbs"	"13"	12
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"14 lbs"	"14"	14
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"15 lbs"	"15"	15
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"16 lbs"	"16"	19
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"17 lbs"	"17"	18
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"18 lbs"	"18"	16
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"19 lbs"	"19"	20
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"20 lbs"	"20"	34
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"21 lbs"	"21"	18
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"22 lbs"	"22"	24
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"23 lbs"	"23"	22
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"24 lbs"	"24"	17
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"25 lbs"	"25"	21
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"26 lbs"	"26"	18
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"27 lbs"	"27"	14
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"28 lbs"	"28"	21
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"29 lbs"	"29"	11
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"30 lbs"	"30"	27
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"31 lbs"	"31"	12
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"32 lbs"	"32"	21
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"33 lbs"	"33"	18
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"34 lbs"	"34"	22
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"35 lbs"	"35"	22
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"36 lbs"	"36"	9
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"37 lbs"	"37"	13
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"38 lbs"	"38"	9
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"39 lbs"	"39"	12
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"40 lbs"	"40"	24
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"41 lbs"	"41"	10
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"42 lbs"	"42"	19
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"43 lbs"	"43"	7
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"44 lbs"	"44"	9
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"45 lbs"	"45"	13
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"46 lbs"	"46"	7
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"47 lbs"	"47"	10
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"48 lbs"	"48"	7
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"49 lbs"	"49"	8
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"50 lbs"	"50"	8
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"51 lbs"	"51"	4
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"52 lbs"	"52"	4
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"53 lbs"	"53"	4
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"54 lbs"	"54"	2
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"55 lbs"	"55"	6
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"56 lbs"	"56"	5
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"57 lbs"	"57"	4
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"58 lbs"	"58"	5
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"59 lbs"	"59"	3
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"60 lbs"	"60"	5
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"61 lbs"	"61"	2
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"62 lbs"	"62"	2
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"63 lbs"	"63"	1
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"64 lbs"	"64"	2
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"65 lbs"	"65"	2
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"66 lbs"	"66"	4
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"67 lbs"	"67"	1
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"68 lbs"	"68"	1
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"69 lbs"	"69"	1
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"70 lbs"	"70"	1
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"71 lbs"	"71"	1
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"79 lbs"	"79"	1
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"80 lbs"	"80"	2
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"86 lbs"	"86"	2
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"96 lbs"	"96"	2
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"98 or more"	"98"	3
	"Under 15 years"	"15"	"125 - 174 lbs"	"3"	"Unknown or Not Stated"	"99"	12
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"0 lbs"	"0"	18
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"2 lbs"	"2"	1
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"3 lbs"	"3"	1
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"4 lbs"	"4"	2
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"6 lbs"	"6"	3
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"8 lbs"	"8"	1
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"10 lbs"	"10"	2
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"12 lbs"	"12"	6
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"13 lbs"	"13"	3
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"14 lbs"	"14"	3
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"15 lbs"	"15"	1
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"16 lbs"	"16"	2
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"17 lbs"	"17"	5
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"18 lbs"	"18"	5
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"19 lbs"	"19"	3
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"20 lbs"	"20"	7
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"21 lbs"	"21"	1
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"22 lbs"	"22"	4
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"23 lbs"	"23"	3
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"24 lbs"	"24"	3
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"25 lbs"	"25"	4
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"26 lbs"	"26"	3
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"27 lbs"	"27"	1
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"28 lbs"	"28"	2
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"29 lbs"	"29"	2
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"30 lbs"	"30"	6
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"31 lbs"	"31"	3
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"32 lbs"	"32"	2
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"33 lbs"	"33"	1
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"35 lbs"	"35"	2
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"36 lbs"	"36"	1
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"37 lbs"	"37"	2
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"38 lbs"	"38"	4
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"39 lbs"	"39"	1
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"42 lbs"	"42"	3
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"43 lbs"	"43"	2
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"44 lbs"	"44"	1
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"45 lbs"	"45"	1
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"47 lbs"	"47"	1
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"49 lbs"	"49"	2
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"50 lbs"	"50"	1
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"52 lbs"	"52"	1
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"57 lbs"	"57"	1
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"60 lbs"	"60"	1
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"61 lbs"	"61"	3
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"65 lbs"	"65"	1
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"68 lbs"	"68"	1
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"69 lbs"	"69"	1
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"73 lbs"	"73"	1
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"74 lbs"	"74"	1
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"77 lbs"	"77"	1
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"83 lbs"	"83"	2
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"98 or more"	"98"	1
	"Under 15 years"	"15"	"175 - 224 lbs"	"4"	"Unknown or Not Stated"	"99"	3
	"Under 15 years"	"15"	"225 - 274 lbs"	"5"	"0 lbs"	"0"	4
	"Under 15 years"	"15"	"225 - 274 lbs"	"5"	"2 lbs"	"2"	1
	"Under 15 years"	"15"	"225 - 274 lbs"	"5"	"3 lbs"	"3"	1
	"Under 15 years"	"15"	"225 - 274 lbs"	"5"	"7 lbs"	"7"	1
	"Under 15 years"	"15"	"225 - 274 lbs"	"5"	"13 lbs"	"13"	1
	"Under 15 years"	"15"	"225 - 274 lbs"	"5"	"15 lbs"	"15"	2
	"Under 15 years"	"15"	"225 - 274 lbs"	"5"	"16 lbs"	"16"	1
	"Under 15 years"	"15"	"225 - 274 lbs"	"5"	"17 lbs"	"17"	1
	"Under 15 years"	"15"	"225 - 274 lbs"	"5"	"21 lbs"	"21"	1
	"Under 15 years"	"15"	"225 - 274 lbs"	"5"	"24 lbs"	"24"	1
	"Under 15 years"	"15"	"225 - 274 lbs"	"5"	"31 lbs"	"31"	1
	"Under 15 years"	"15"	"225 - 274 lbs"	"5"	"32 lbs"	"32"	1
	"Under 15 years"	"15"	"225 - 274 lbs"	"5"	"33 lbs"	"33"	1
	"Under 15 years"	"15"	"225 - 274 lbs"	"5"	"36 lbs"	"36"	1
	"Under 15 years"	"15"	"225 - 274 lbs"	"5"	"40 lbs"	"40"	2
	"Under 15 years"	"15"	"225 - 274 lbs"	"5"	"43 lbs"	"43"	1
	"Under 15 years"	"15"	"225 - 274 lbs"	"5"	"47 lbs"	"47"	1
	"Under 15 years"	"15"	"225 - 274 lbs"	"5"	"Unknown or Not Stated"	"99"	1
	"Under 15 years"	"15"	"275 - 324 lbs"	"6"	"91 lbs"	"91"	1
	"Under 15 years"	"15"	"Unknown or Not Stated"	"9"	"Unknown or Not Stated"	"99"	63
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"0 lbs"	"0"	356
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"1 lbs"	"1"	70
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"2 lbs"	"2"	94
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"3 lbs"	"3"	103
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"4 lbs"	"4"	134
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"5 lbs"	"5"	206
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"6 lbs"	"6"	197
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"7 lbs"	"7"	209
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"8 lbs"	"8"	282
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"9 lbs"	"9"	276
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"10 lbs"	"10"	584
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"11 lbs"	"11"	468
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"12 lbs"	"12"	510
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"13 lbs"	"13"	546
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"14 lbs"	"14"	665
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"15 lbs"	"15"	1007
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"16 lbs"	"16"	844
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"17 lbs"	"17"	955
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"18 lbs"	"18"	1025
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"19 lbs"	"19"	1021
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"20 lbs"	"20"	1849
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"21 lbs"	"21"	1202
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"22 lbs"	"22"	1428
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"23 lbs"	"23"	1392
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"24 lbs"	"24"	1352
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"25 lbs"	"25"	1926
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"26 lbs"	"26"	1529
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"27 lbs"	"27"	1540
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"28 lbs"	"28"	1608
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"29 lbs"	"29"	1434
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"30 lbs"	"30"	2380
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"31 lbs"	"31"	1419
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"32 lbs"	"32"	1577
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"33 lbs"	"33"	1413
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"34 lbs"	"34"	1397
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"35 lbs"	"35"	1609
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"36 lbs"	"36"	1369
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"37 lbs"	"37"	1162
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"38 lbs"	"38"	1253
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"39 lbs"	"39"	1024
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"40 lbs"	"40"	1489
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"41 lbs"	"41"	959
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"42 lbs"	"42"	952
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"43 lbs"	"43"	844
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"44 lbs"	"44"	829
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"45 lbs"	"45"	924
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"46 lbs"	"46"	662
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"47 lbs"	"47"	663
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"48 lbs"	"48"	610
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"49 lbs"	"49"	483
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"50 lbs"	"50"	747
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"51 lbs"	"51"	409
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"52 lbs"	"52"	434
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"53 lbs"	"53"	385
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"54 lbs"	"54"	350
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"55 lbs"	"55"	383
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"56 lbs"	"56"	294
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"57 lbs"	"57"	266
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"58 lbs"	"58"	260
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"59 lbs"	"59"	204
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"60 lbs"	"60"	306
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"61 lbs"	"61"	170
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"62 lbs"	"62"	173
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"63 lbs"	"63"	156
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"64 lbs"	"64"	123
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"65 lbs"	"65"	165
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"66 lbs"	"66"	115
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"67 lbs"	"67"	83
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"68 lbs"	"68"	72
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"69 lbs"	"69"	58
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"70 lbs"	"70"	113
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"71 lbs"	"71"	46
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"72 lbs"	"72"	37
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"73 lbs"	"73"	40
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"74 lbs"	"74"	52
	"15-19 years"	"15-19"	" 75 - 124 lbs"	"2"	"75 lbs"	"75"	32
